json_path,sentence_idx,sentence_text,sentence_hash
"['modules', 0, 'title']",0,Intro to Sustainable Energy for Development,7655c6362cd3919074071d053b77007896a1160c9a68c64ab87d95fe034f2d86
"['modules', 0, 'description']",0,"Module 1 offers an overview of sustainable energy within the global development agenda, linking it to challenges like climate change and energy poverty, and opportunities for economic growth and energy security.",883796d9dd2f55a1f3647263aed87c97a9473fa4bd40f3e64311596fe6151e5c
"['modules', 0, 'description']",1,"It introduces SDG7, its progress, and interlinkages, while presenting UNDP’s Energy Moonshot and the Sustainable Energy Academy’s tools for accelerating energy transitions.",db80cea971bc8905c8a076e77e3f03bb402b174fa165d946d1915c9aaf780fa0
"['modules', 0, 'chapters', 0, 'title']",0,Module 1 Introduction,7be3824d14678d9b4af5ba14144b7c048440ec5976c6277f7d5f575eced00775
"['modules', 0, 'chapters', 0, 'lessons', 0, 'title']",0,Module 1 Preface,1c928b45cfab9d472ddffe9052b85496cd3f20ed9ba58831a2217b453ba709b4
"['modules', 0, 'chapters', 0, 'lessons', 0, 'description']",0,Preface to the module and overview of what’s ahead.,f5ecec049b1aa464ee90b2b3bb012c193d9ad12648df9e6d5febafbb1ed67170
"['modules', 0, 'chapters', 0, 'lessons', 1, 'title']",0,Module 1 Introduction,7be3824d14678d9b4af5ba14144b7c048440ec5976c6277f7d5f575eced00775
"['modules', 0, 'chapters', 0, 'lessons', 1, 'description']",0,Introduction and learning objectives for Module 1,f75c2db5fe21b5f77c9da350b1529af5265d95c94f41e2ff3a0088a4e19a5195
"['modules', 0, 'chapters', 1, 'title']",0,Chapter 1: <strong>Introduction to Energy Systems</strong>,e958717cd2f73629801f95b1ebba81cc1bef2ffeb35e7a0af736fb6d5febbe56
"['modules', 0, 'chapters', 1, 'description']",0,"This chapter explores global energy flows, the energy trilemma, and the urgent need for a sustainable transition to meet climate and development goals.",84e5ec176bca1de7afc427162c05244f3ee4df0ed451e1108c04e0d1046ce298
"['modules', 0, 'chapters', 1, 'lessons', 0, 'title']",0,Chapter 1 Introduction,4967392e984184d343aa7f07af423fbd17562cc0b2dccfe55404d5e8cfb2ba6b
"['modules', 0, 'chapters', 1, 'lessons', 1, 'title']",0,Lesson 1: <strong>The Great Energy Dilemma: Paradoxes of Sustainable Development</strong>,9c9045b1a475fc05a97f79bc0294ca3ffa6500f927e03e67651e791082e1ccd1
"['modules', 0, 'chapters', 1, 'lessons', 1, 'description']",0,Understanding the role of sustainable energy for human well-being and development,29e327f852cd9f303e11f6e028ff3df456d4e3087e3ad21ec5587fda5f278830
"['modules', 0, 'chapters', 1, 'lessons', 2, 'title']",0,Lesson 2: <strong>Energy as a Driver for Development</strong>,1b55d32b0d9c4a940106dc61a0f4d1f0c1b8940ddac1424838a53f8e4516ed98
"['modules', 0, 'chapters', 1, 'lessons', 2, 'description']",0,Exploring the benefits of sustainable energy and examining the energy transition,56016ac4f37aedf25e67615b0fcfc335e7bec11243d13e807c4fee20308595c2
"['modules', 0, 'chapters', 1, 'lessons', 3, 'title']",0,Lesson 3: <strong>The Sustainable Energy Landscape</strong>,941a9cda6b99ce8189ad7b6d6d1e92ee31f12592423dcbec8a6d9f07f8fce883
"['modules', 0, 'chapters', 1, 'lessons', 4, 'title']",0,Chapter 1 Outro,a3066505c8df5f13f89d934abff6b85d7b0ab812d7553e6b61927d746cc6b4d2
"['modules', 0, 'chapters', 1, 'lessons', 4, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 0, 'chapters', 2, 'title']",0,Chapter 2: <strong>Interlinkages between Energy and Other SDGs</strong>,ee9cdfae218860b7784297f3d46c0c77aa5fa1238f770b79a599aac2594d5005
"['modules', 0, 'chapters', 2, 'description']",0,"This chapter explores SDG interlinkages, emphasizing integrated, context-specific energy solutions that maximize synergies, minimize trade-offs, and advance multiple development goals.",5a11fa7109aea0a496efe26161d600212f6b71244af6b5726cb9fd147c45c414
"['modules', 0, 'chapters', 2, 'lessons', 0, 'title']",0,Chapter 2 Introduction,2ed4868b4179970a36b304c2d2993b7551e0cc7800a8bb07746aedfdd47af7f1
"['modules', 0, 'chapters', 2, 'lessons', 1, 'title']",0,Lesson 1: <strong>Access to electricity and clean cooking‚ÄØ(SDG 7.1)</strong>,125af0078a356b3ee6c475405e0a983d95cb23c86bc7d2b50a22dbb44ee987da
